num,Name,RA,Dec,Equinox,pmra,pmdec,rotang,rot_mode,RA_probe1,Dec_probe1,equinox,RA_probe2,Dec_probe2,equinox ,epoch,PI
2,HD78791,09:05:08.81,-72:36:09.74,2016.0,-0.0005873333333333,-0.00526,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2000.0,2016.0,Pearce
52,HIP67348,13:48:13.32,-39:23:39.20,2016.0,-0.0060835333333333,0.008211,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2000.0,2016.0,Pearce
51,HIP67121,13:45:23.09,-42:33:40.80,2016.0,-0.0105404666666666,-0.047254,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2000.0,2016.0,Pearce
5,HD87901,10:08:22.31,+11:58:01.95,2016.0,-0.016582,0.00559,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2000.0,2016.0,Pearce
22,HD97277,11:11:39.47,-22:49:33.05,2016.0,0.0005218,-0.102911,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2000.0,2016.0,Pearce
45,REJ1309+081,13:09:29.71,+08:16:03.35,2016.0,-0.0024482,-0.008257,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2000.0,2016.0,Pearce
7,HD90052,10:24:05.90,+26:21:03.70,2016.0,-0.0043092,0.0153219999999999,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2000.0,2016.0,Pearce
42,LWHya,12:53:32.78,-22:52:22.56,2016.0,-0.0037347333333333,-0.013053,0,GRV,00:00:00.00,+00:00:00.0,2016.0,00:00:00.00,+00:00:00.0,2000.0,2016.0,Pearce
90,Elia2-24,16:26:24.0886,-24:16:13.449,2000.0,-0.0005314,-0.024725,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Perez
81,HD143006,15:58:36.9126,-22:57:15.221,2000.0,-0.000717,-0.021026,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Perez
15,TWHya,11:01:51.9,-34:42:17.0,2000.0,-0.0055394,-0.0139,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
14,PSF-SAO202005,11:00:57.02,-34:48:02.5,2000.0,0.0,0.0,0,EQU,00:00:00.0,+00:00:00,2000.0,00:00:00.0,+00:00:00,2000.0,2000.0,Weinberger
10,HD92945,10:43:28.3,-29:03:51.4,2000.0,-0.0164352,-0.04989,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
97,HD157587,17:24:52.2,-18:51:33.2,2000.0,-0.0002683,-0.03125,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
95,PSF-HD156123,17:18:24.0,-50:12:39.8,2000.0,-0.001432,-0.03474,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
96,HD156623,17:20:50.6,-45:25:15.0,2000.0,-0.001379,-0.03969,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
88,HD146897,16:19:29.2,-21:24:13.3,2000.0,-0.000843,-0.02559,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
8,PSF-HD91551,10:33:51.34,-27:20:58.9,2000.0,-0.001996,-0.02187,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
99,PSF-HD317501,18:24:26.96,-29:32:39.92,2000.0,0.0148,-0.12025,0,EQU,00:00:00.0,+00:00:00,2000.0,00:00:00.0,+00:00:00,2000.0,2000.0,Weinberger
101,HD169142,18:24:29.8,-29:46:49.4,2000.0,-0.0001793,-0.03788,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
9,TWA7,10:42:30.1,-33:40:16.2,2000.0,-0.0095126,-0.01964,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
24,HD98800,11:22:05.3,-24:46:39.7,2000.0,-0.0064827,-0.0411,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
84,PSF-HD144271,16:05:08.49,-03:31:39.4,2000.0,-0.0014789,0.00931,0,EQU,00:00:00.0,+00:00:00,2000.0,00:00:00.0,+00:00:00,2000.0,2000.0,Weinberger
85,PSF-HD144227,16:06:45.3,-46:22:44.8,2000.0,0.001549,-0.02208,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
104,PSF-HD190009,20:03:44.3,-22:35:44.15,2000.0,-0.0027657,0.02244,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
50,HD117214,13:30:09.0,-58:29:04.4,2000.0,-0.004102,-0.02015,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
48,HD115600,13:19:19.5,-59:28:20.4,2000.0,-0.004296,-0.01827,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
44,HD114082,13:09:16.2,-60:18:30.0,2000.0,-0.005352,-0.01996,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
41,HD111520,12:50:19.7,-49:51:48.9,2000.0,-0.00365,-0.01665,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
74,HD141569,15:49:57.75,-03:55:16.3,2000.0,-0.0011641,-0.01911,0,EQU,00:00:00.0,+00:00:00,2000.0,00:00:00.0,+00:00:00,2000.0,2000.0,Weinberger
40,HR4796A,12:36:01.0,-39:52:10.2,2000.0,-0.004834,-0.02388,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
39,PSF-HR4748,12:28:22.47,-39:02:28.2,2000.0,-0.0024047,-0.0127,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
37,HD106906,12:17:53.2,-55:58:31.9,2000.0,-0.004654,-0.01269,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
36,PSF-CD-78D487,12:04:57.44,-79:32:04.7,2000.0,-0.01453,0.0,0,EQU,00:00:00.0,+00:00:00,2000.0,00:00:00.0,+00:00:00,2000.0,2000.0,Weinberger
34,TCha,11:57:13.28,-79:21:31.7,2000.0,0.0006535,-0.04159,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
28,HD100546,11:33:25.4,-70:11:41.2,2000.0,-0.0076205,-0.0001,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
82,HD143675,16:03:13.5,-35:17:14.9,2000.0,-0.001608,-0.02628,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
25,PSF-HR4406,11:24:11.13,-72:15:23.79,2000.0,-0.0055592,-0.00223,0,EQU,00:00:00.0,+00:00:00,2000.0,00:00:00.0,+00:00:00,2000.0,2000.0,Weinberger
60,HD129590,14:44:31.0,-39:59:20.6,2000.0,-0.001915,-0.02397,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
86,HD145560,16:13:34.3,-45:49:03.7,2000.0,-0.0019056,-0.03211,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
105,HD191089,20:09:05.2,-26:13:26.5,2000.0,0.002998,-0.06742,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,Weinberger
