num,Name,RA,Dec,Equinox,pmra,pmdec,rotang,rot_mode,RA_probe1,Dec_probe1,equinox,RA_probe2,Dec_probe2,equinox ,epoch,#Notes,#V,#R,#I,#PI
56,PDS70, 14:08:10.2 , -41:23:53.6 ,2000.0,-0.0019798,-0.024041,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#Imag=10.5,#12.18,#11.71,#10.506,#Haffert
66,Phi02Lup, 15:23:09.4 , -36:51:30.6 ,2000.0,-0.001216,-0.02072,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#Imag=4.7,#4.54,#4.6,#4.74,#Haffert
1,AlphaPyx, 08:43:35.5 , -33:11:11.0 ,2000.0,-0.0009513333333333,0.01043,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#Imag=3.9,#3.68,#3.76,#3.93,#Haffert
79,HD142527, 15:56:41.9 , -42:19:23.2 ,2000.0,-0.0007282666666666,-0.026149,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#Imag=7.5,#8.34,#--,#--,#Haffert
33,ZetaCrateris, 11:44:45.8 , -18:21:02.4 ,2000.0,0.0018198666666666,-0.024644,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#Imag=3.7,#4.706,#--,#--,#Haffert
32,OmiHya, 11:40:12.8 , -34:44:40.8 ,2000.0,-0.0028826666666666,-0.00161,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#Imag=4.8,#4.7,#4.69,#4.74,#Haffert
61,HR5501, 14 45 30.2 , +00:43:02.2 ,2000.0,-0.0025938,-0.008231,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#Imag=5.6,#5.665,#--,#--,#Haffert
91,Antares, 16:29:24.5 , -26:25:55.2 ,2000.0,-0.0008073333333333,-0.0233,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#Imag=-1.9,#0.91,#-0.64,#-1.87,#Haffert
98,HD163296, 17:56:21.3 , -21:57:21.9 ,2000.0,-0.0005057333333333,-0.039458,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#Imag=6.7,#6.85,#6.86,#6.67,#Haffert
102,PZTel, 18:53:05.9 , -50:10:49.9 ,2000.0,0.0010848,-0.085519,0,GRV,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,#Imag=7.5,#8.342,#--,#7.464,#Haffert
